Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,1,CPU_ONLY,ON_B,1,0,798631,97.48,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,1,800275,97.68,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,2,797323,97.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,3,797860,97.39,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,4,800317,97.69,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,5,799743,97.62,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,6,796821,97.26,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,7,800431,97.70,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,8,800789,97.75,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,9,796999,97.28,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,10,798600,97.48,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,11,800082,97.66,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,12,800520,97.71,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,13,800336,97.69,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,14,798655,97.49,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,15,797028,97.29,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,16,797455,97.34,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,17,799802,97.63,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,18,800189,97.67,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,19,800074,97.66,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,20,799167,97.55,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,21,797233,97.31,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,22,796878,97.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,23,798600,97.48,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,24,799951,97.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,0,778435,95.02,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,1,779191,95.11,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,2,778772,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,3,778466,95.02,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,4,778960,95.08,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,5,778257,95.00,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,6,778585,95.04,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,7,778739,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,8,778881,95.07,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,9,778599,95.04,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,10,778942,95.08,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,11,778549,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,12,778162,94.99,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,13,778797,95.06,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,14,778412,95.02,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,15,778559,95.03,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,16,778274,95.00,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,17,778902,95.08,255,255,0
