AdaptiveDMA parameter sweep
configs=25,runs=100,dma_bytes=8388608,latency_limit_percent=50
SAMPLE_HEADER,name,run,base_cpu,load_cpu,dma_cycles,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,overlap,checks_ok
SUMMARY_HEADER,name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors
SAMPLE,RAW_B1_O2,41,106.37,110.84,17198156,0,0,0,0,524047,0,523383,0,0,1,1
SAMPLE,RAW_B1_O2,42,106.35,110.88,17197234,0,0,0,0,524083,0,523374,0,0,1,1
SAMPLE,RAW_B1_O2,43,106.31,110.51,17201871,0,0,0,0,524095,0,523637,0,0,1,1
SAMPLE,RAW_B1_O2,44,106.35,110.56,17200098,0,0,0,0,524068,0,523606,0,0,1,1
SAMPLE,RAW_B1_O2,45,106.38,110.38,17202646,0,0,0,0,524096,0,523748,0,0,1,1
SAMPLE,RAW_B1_O2,46,106.36,110.50,17203364,0,0,0,0,524098,0,523692,0,0,1,1
SAMPLE,RAW_B1_O2,47,106.34,110.40,17203006,0,0,0,0,524159,0,523753,0,0,1,1
SAMPLE,RAW_B1_O2,48,106.38,110.93,17197106,0,0,0,0,524075,0,523356,0,0,1,1
SAMPLE,RAW_B1_O2,49,106.37,110.70,17199660,0,0,0,0,524088,0,523495,0,0,1,1
SAMPLE,RAW_B1_O2,50,106.38,110.50,17202448,0,0,0,0,524135,0,523628,0,0,1,1
SAMPLE,RAW_B1_O2,51,106.39,110.52,17200406,0,0,0,0,524084,0,523554,0,0,1,1
SAMPLE,RAW_B1_O2,52,106.45,110.33,17203076,0,0,0,0,524131,0,523867,0,0,1,1
SAMPLE,RAW_B1_O2,53,106.35,110.45,17203957,0,0,0,0,524141,0,523765,0,0,1,1
SAMPLE,RAW_B1_O2,54,106.36,110.43,17204681,0,0,0,0,524145,0,523811,0,0,1,1
SAMPLE,RAW_B1_O2,55,106.29,110.78,17196725,0,0,0,0,524042,0,523446,0,0,1,1
SAMPLE,RAW_B1_O2,56,106.30,110.46,17200907,0,0,0,0,524119,0,523615,0,0,1,1
SAMPLE,RAW_B1_O2,57,106.37,110.69,17199814,0,0,0,0,524099,0,523557,0,0,1,1
SAMPLE,RAW_B1_O2,58,106.42,110.70,17201998,0,0,0,0,524134,0,523593,0,0,1,1
SAMPLE,RAW_B1_O2,59,106.52,110.47,17200735,0,0,0,0,524091,0,523660,0,0,1,1
SAMPLE,RAW_B1_O2,60,106.39,110.43,17203437,0,0,0,0,524149,0,523727,0,0,1,1
SAMPLE,RAW_B1_O2,61,106.27,110.46,17203588,0,0,0,0,524125,0,523734,0,0,1,1
SAMPLE,RAW_B1_O2,62,106.38,110.37,17202568,0,0,0,0,524092,0,523730,0,0,1,1
SAMPLE,RAW_B1_O2,63,106.38,110.84,17200315,0,0,0,0,524133,0,523492,0,0,1,1
SAMPLE,RAW_B1_O2,64,106.30,110.54,17203033,0,0,0,0,524148,0,523691,0,0,1,1
SAMPLE,RAW_B1_O2,65,106.32,110.44,17202614,0,0,0,0,524123,0,523736,0,0,1,1
SAMPLE,RAW_B1_O2,66,106.42,110.35,17202826,0,0,0,0,524118,0,523762,0,0,1,1
SAMPLE,RAW_B1_O2,67,106.44,110.53,17201596,0,0,0,0,524069,0,523535,0,0,1,1
SAMPLE,RAW_B1_O2,68,106.41,110.40,17203784,0,0,0,0,524142,0,523808,0,0,1,1
SAMPLE,RAW_B1_O2,69,106.31,110.47,17200741,0,0,0,0,524090,0,523636,0,0,1,1
SAMPLE,RAW_B1_O2,70,106.40,110.47,17203631,0,0,0,0,524127,0,523746,0,0,1,1
SAMPLE,RAW_B1_O2,71,106.42,110.60,17201982,0,0,0,0,524133,0,523639,0,0,1,1
SAMPLE,RAW_B1_O2,72,106.42,110.33,17205439,0,0,0,0,524163,0,523888,0,0,1,1

SAMPLE,RAW_B1_O2,73,106.43,110.57,17200443,0,0,0,0,524105,0,523657,0,0,1,1
SAMPLE,RAW_B1_O2,74,106.37,110.25,17204767,0,0,0,0,524147,0,523861,0,0,1,1
SAMPLE,RAW_B1_O2,75,106.43,110.44,17203917,0,0,0,0,524152,0,523795,0,0,1,1
SAMPLE,RAW_B1_O2,76,106.30,110.26,17203704,0,0,0,0,524156,0,523880,0,0,1,1
